Module                  | Self CPU total | CPU total | Self CUDA total | CUDA total | Self CPU Mem | CPU Mem | Self CUDA Mem | CUDA Mem  | Number of Calls
------------------------|----------------|-----------|-----------------|------------|--------------|---------|---------------|-----------|----------------
DistributedDataParallel |                |           |                 |            |              |         |               |           |                
└── module              |                |           |                 |            |              |         |               |           |                
 ││└── bn2              | 151.949us      | 406.891us | 991.552us       | 2.892ms    | 0 b          | 0 b     | 98.00 Mb      | 490.01 Mb | 1              
 ├── layer4             |                |           |                 |            |              |         |               |           |                
 │├── 0                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 135.989us      | 487.898us | 6.735ms         | 26.892ms   | 0 b          | 0 b     | 49.00 Mb      | 196.00 Mb | 1              
 ││├── bn1              | 168.765us      | 414.952us | 759.136us       | 2.189ms    | 0 b          | 0 b     | 49.00 Mb      | 245.02 Mb | 1              
 ││├── relu             | 100.689us      | 199.337us | 450.752us       | 1.292ms    | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 150.919us      | 547.211us | 5.528ms         | 22.064ms   | 0 b          | 0 b     | 49.00 Mb      | 520.00 Mb | 1              
 ││├── bn2              | 163.461us      | 436.195us | 761.440us       | 2.189ms    | 0 b          | 0 b     | 49.00 Mb      | 245.02 Mb | 1              
 ││├── downsample       |                |           |                 |            |              |         |               |           |                
 │││├── 0               | 135.457us      | 484.037us | 1.032ms         | 4.076ms    | 0 b          | 0 b     | 49.00 Mb      | 196.00 Mb | 1              
 │││└── 1               | 183.565us      | 497.234us | 764.800us       | 2.197ms    | 0 b          | 0 b     | 49.00 Mb      | 245.02 Mb | 1              
 │└── 1                 |                |           |                 |            |              |         |               |           |                
 │ ├── conv1            | 136.455us      | 482.972us | 5.639ms         | 22.507ms   | 0 b          | 0 b     | 49.00 Mb      | 520.00 Mb | 1              
 │ ├── bn1              | 157.301us      | 407.713us | 749.504us       | 2.149ms    | 0 b          | 0 b     | 49.00 Mb      | 245.02 Mb | 1              
 │ ├── relu             | 109.233us      | 218.606us | 454.464us       | 1.296ms    | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 │ ├── conv2            | 134.013us      | 484.540us | 5.620ms         | 22.429ms   | 0 b          | 0 b     | 49.00 Mb      | 520.00 Mb | 1              
 │ └── bn2              | 157.621us      | 410.423us | 753.888us       | 2.168ms    | 0 b          | 0 b     | 49.00 Mb      | 245.02 Mb | 1              
 ├── avgpool            | 72.741us       | 143.809us | 502.560us       | 995.296us  | 0 b          | 0 b     | 1.00 Mb       | 3.00 Mb   | 1              
 └── fc                 | 130.928us      | 273.342us | 241.760us       | 453.120us  | 0 b          | 0 b     | 2.38 Mb       | 7.14 Mb   | 1              
