[0 - 7f68279fba80]   15.913462 {3}{Mapper}: Instance[103]: memory:1e00000000000001	proc:1d00000000000003	size:140492800	task:bn_init_task
[0 - 7f68279fba80]   15.913469 {3}{Mapper}: Instance[104]: memory:1e00000000000001	proc:1d00000000000003	size:70246400	task:Conv2D Init Task
[0 - 7f68279fba80]   15.913477 {3}{Mapper}: Instance[105]: memory:1e00000000000001	proc:1d00000000000003	size:1179648	task:Conv2D Init Task
[0 - 7f68279fba80]   15.913484 {3}{Mapper}: Instance[106]: memory:1e00000000000001	proc:1d00000000000003	size:140492800	task:Conv2D Init Task
[0 - 7f68279fba80]   15.913491 {3}{Mapper}: Instance[107]: memory:1e00000000000001	proc:1d00000000000003	size:70246400	task:bn_init_task
[0 - 7f68279fba80]   15.913500 {3}{Mapper}: Instance[108]: memory:1e00000000000001	proc:1d00000000000003	size:70246400	task:Conv2D Init Task
[0 - 7f68279fba80]   15.913506 {3}{Mapper}: Instance[109]: memory:1e00000000000001	proc:1d00000000000003	size:2359296	task:Conv2D Init Task
[0 - 7f68279fba80]   15.913519 {3}{Mapper}: Instance[110]: memory:1e00000000000001	proc:1d00000000000003	size:70246400	task:Conv2D Init Task
[0 - 7f68279fba80]   15.913526 {3}{Mapper}: Instance[111]: memory:1e00000000000001	proc:1d00000000000003	size:70246400	task:bn_init_task
[0 - 7f68279fba80]   15.913532 {3}{Mapper}: Instance[112]: memory:1e00000000000001	proc:1d00000000000003	size:70246400	task:Conv2D Init Task
[0 - 7f68279fba80]   15.913538 {3}{Mapper}: Instance[113]: memory:1e00000000000001	proc:1d00000000000003	size:131072	task:Conv2D Init Task
[0 - 7f68279fba80]   15.913549 {3}{Mapper}: Instance[114]: memory:1e00000000000001	proc:1d00000000000003	size:70246400	task:bn_init_task
[0 - 7f68279fba80]   15.913555 {3}{Mapper}: Instance[115]: memory:1e00000000000001	proc:1d00000000000003	size:70246400	task:Conv2D Init Task
[0 - 7f68279fba80]   15.913578 {3}{Mapper}: Instance[116]: memory:1e00000000000001	proc:1d00000000000003	size:2359296	task:Conv2D Init Task
[0 - 7f68279fba80]   15.913585 {3}{Mapper}: Instance[117]: memory:1e00000000000001	proc:1d00000000000003	size:70246400	task:Conv2D Init Task
