Module                  | Self CPU total | CPU total | Self CUDA total | CUDA total | Self CPU Mem | CPU Mem | Self CUDA Mem | CUDA Mem  | Number of Calls
------------------------|----------------|-----------|-----------------|------------|--------------|---------|---------------|-----------|----------------
DistributedDataParallel |                |           |                 |            |              |         |               |           |                
└── module              |                |           |                 |            |              |         |               |           |                
 ││└── bn2              | 144.018us      | 379.797us | 424.576us       | 1.188ms    | 0 b          | 0 b     | 37.13 Mb      | 185.67 Mb | 1              
 ├── layer4             |                |           |                 |            |              |         |               |           |                
 │├── 0                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 117.549us      | 415.956us | 2.868ms         | 11.425ms   | 0 b          | 0 b     | 18.57 Mb      | 74.27 Mb  | 1              
 ││├── bn1              | 164.729us      | 444.640us | 272.480us       | 731.296us  | 0 b          | 0 b     | 18.57 Mb      | 92.85 Mb  | 1              
 ││├── relu             | 102.590us      | 204.194us | 209.920us       | 570.240us  | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 159.082us      | 582.447us | 2.538ms         | 10.105ms   | 0 b          | 0 b     | 18.57 Mb      | 227.27 Mb | 1              
 ││├── bn2              | 145.279us      | 382.338us | 245.824us       | 652.096us  | 0 b          | 0 b     | 18.57 Mb      | 92.85 Mb  | 1              
 ││├── downsample       |                |           |                 |            |              |         |               |           |                
 │││├── 0               | 117.322us      | 414.373us | 475.744us       | 1.856ms    | 0 b          | 0 b     | 18.57 Mb      | 74.27 Mb  | 1              
 │││└── 1               | 145.000us      | 382.722us | 247.104us       | 655.232us  | 0 b          | 0 b     | 18.57 Mb      | 92.85 Mb  | 1              
 │└── 1                 |                |           |                 |            |              |         |               |           |                
 │ ├── conv1            | 125.577us      | 446.207us | 2.502ms         | 9.962ms    | 0 b          | 0 b     | 18.57 Mb      | 227.27 Mb | 1              
 │ ├── bn1              | 151.205us      | 401.521us | 252.768us       | 671.648us  | 0 b          | 0 b     | 18.57 Mb      | 92.85 Mb  | 1              
 │ ├── relu             | 101.768us      | 202.376us | 209.440us       | 569.696us  | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 │ ├── conv2            | 126.449us      | 450.222us | 2.497ms         | 9.941ms    | 0 b          | 0 b     | 18.57 Mb      | 227.27 Mb | 1              
 │ └── bn2              | 145.706us      | 383.929us | 239.296us       | 631.744us  | 0 b          | 0 b     | 18.57 Mb      | 92.85 Mb  | 1              
 ├── avgpool            | 67.260us       | 131.068us | 217.440us       | 425.568us  | 0 b          | 0 b     | 388.00 Kb     | 1.14 Mb   | 1              
